round,rank,candidate_id,strategy,origin,parent_ids,is_survivor,sharpe_ratio,total_return,max_drawdown,trade_count,signal_count,final_equity,win_rate,params_json
1,1,r1_c49,donchian_breakout,mutation,r1_c10,True,1.6795717544081585,0.21289703129634618,0.2742530844598486,147,164,12128.970312963462,0.3541666666666667,"{""breakout_buffer_bps"": 30.0, ""lookback_window"": 65}"
1,2,r1_c40,donchian_breakout,mutation,r1_c10,True,0.6505938729396572,0.052526836601043764,0.27586331823207627,331,367,10525.268366010438,0.35454545454545455,"{""breakout_buffer_bps"": 15.0, ""lookback_window"": 57}"
1,3,r1_c08,multi_timeframe_ma_spread,seed,,True,-0.041665963831579035,-0.03838741180988636,0.3095946833926418,123,123,9616.125881901136,0.296875,"{""primary_ma_period"": 20, ""reference_ma_period"": 50, ""spread_threshold_bps"": 20.0}"
1,4,r1_c20,donchian_breakout,mutation,r1_c10,True,-0.436459790097629,-0.09434752126577133,0.29930144962860844,397,456,9056.524787342287,0.33076923076923076,"{""breakout_buffer_bps"": 10.0, ""lookback_window"": 65}"
1,5,r1_c47,multi_timeframe_ma_spread,mutation,r1_c08,True,-0.49330279610177075,-0.09349556116775366,0.35163607029368116,106,109,9065.044388322463,0.34615384615384615,"{""primary_ma_period"": 19, ""reference_ma_period"": 52, ""spread_threshold_bps"": 40.0}"
1,6,r1_c28,multi_timeframe_ma_spread,mutation,r1_c08,True,-0.5903121746644859,-0.10421155842440112,0.3645721221128665,94,94,8957.884415755989,0.32,"{""primary_ma_period"": 21, ""reference_ma_period"": 60, ""spread_threshold_bps"": 40.0}"
1,7,r1_c17,multi_timeframe_ma_spread,mutation,r1_c07,True,-0.7565442085056234,-0.12650673498167617,0.3080713846088806,366,370,8734.932650183238,0.23636363636363636,"{""primary_ma_period"": 5, ""reference_ma_period"": 22, ""spread_threshold_bps"": 20.0}"
1,8,r1_c38,multi_timeframe_ma_spread,mutation,r1_c08,True,-0.9349669103725875,-0.14309404472282367,0.3632834302304118,110,110,8569.059552771763,0.2903225806451613,"{""primary_ma_period"": 23, ""reference_ma_period"": 55, ""spread_threshold_bps"": 20.0}"
1,9,r1_c37,multi_timeframe_ma_spread,mutation,r1_c07,True,-1.0531355935089537,-0.16019306963488833,0.3203120151580277,251,252,8398.069303651117,0.23353293413173654,"{""primary_ma_period"": 13, ""reference_ma_period"": 22, ""spread_threshold_bps"": 10.0}"
1,10,r1_c10,donchian_breakout,seed,,True,-1.3352209144581506,-0.20021763885983646,0.391945915574075,437,495,7997.823611401635,0.30405405405405406,"{""breakout_buffer_bps"": 10.0, ""lookback_window"": 55}"
1,11,r1_c18,multi_timeframe_ma_spread,mutation,r1_c08,True,-1.6535813313754666,-0.21883682404854718,0.38347990246812186,102,102,7811.631759514528,0.23170731707317074,"{""primary_ma_period"": 25, ""reference_ma_period"": 55, ""spread_threshold_bps"": 10.0}"
